Name,MeasurementUnit,ProductGroup,STOCK,Barcode,Cost,Supplier,Price,Image,SKU, stock minimo,LowStockWarning,PreferredQuantity,WarningQuantity,IsUsingDefaultQuantity
GALLETITAS VEGANAS VANINILLA - ANIMAL KIND - 170GR,Unidad,GALLETITAS - PANES - SNAKCS,8,7798184451352,737,NUTRER,1700,,447,,1,5,2,1
GALLETITAS INTEGRA - ALMENDRA Y MIEL 120GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798343751163,1187,GREEN Y CO,1900,,448,,1,5,2,1
GALLETITAS INTEGRA - CHOCOLATE Y ALMENDRA 120GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798343751156,1187,GREEN Y CO,1900,,449,,1,5,2,1
GALLETITAS INTEGRA - LIMON Y AMAPOLA 120GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798343751064,1187,GREEN Y CO,1900,,450,,1,5,2,1
PEPAS KETO SIMPLY - MERMELADA DE FRAMBUESA 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,798190246604,3702.6,GREEN Y CO,4900,,451,,1,5,2,1
COOKIES KETO SIMPLY - CHIPS DE CHOCOLATE 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,798190246574,3702.6,GREEN Y CO,4900,,452,,1,5,2,1
COOKIES KETO SIMPLY - CHOCOLATE 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,798190246598,3702.6,GREEN Y CO,4900,,453,,1,5,2,1
"GALLETITAS - LIMBO ALMENDRAS, NUEZ, MANI, AVENA 160GR",Unidad,GALLETITAS - PANES - SNAKCS,,7798387360024,1368,GREEN Y CO,2300,,454,,1,5,2,1
GALLETITAS - LIMBO CHIPS DE CHOCOLATE Y AVENA 160GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798387360031,1368,GREEN Y CO,2300,,455,,1,5,2,1
GALLETITAS GRANDIET - ARANDANOS 180GR,Unidad,GALLETITAS - PANES - SNAKCS,,7797330105293,986.27,GREEN Y CO,1600,,456,,1,5,2,1
GALLETITAS GRANDIET - VAINILLA CON HARINA DE ALMENDRAS 180GR,Unidad,GALLETITAS - PANES - SNAKCS,,7797330105262,816.5,GREEN Y CO,1600,,457,,1,5,2,1
GALLETITAS HAPPY FOODS - COCO SIN AZUCAR 44GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798308250199,639,GREEN Y CO,1200,,458,,1,12,6,1
GALLETITAS HAPPY FOODS - NARANJA SESAMO Y QUINOA SIN AZUCAR 44GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798308250205,639,GREEN Y CO,1200,,459,,1,12,6,1
GALLETITAS YUKA - PEPAS 150GR,Unidad,GALLETITAS - PANES - SNAKCS,,7794903232219,1427.03,GREEN Y CO,2400,,460,,1,5,2,1
GALLETITAS YUKA - VAINILLA Y CHIPS DE CHOCOLATE 150GR,Unidad,GALLETITAS - PANES - SNAKCS,,7794903232196,1427.03,GREEN Y CO,2400,,461,,1,5,2,1
GALLETITAS YUKA - SALADAS QUESO 150GR,Unidad,GALLETITAS - PANES - SNAKCS,,7794903232226,1427.03,GREEN Y CO,2400,,462,,1,5,2,1
TOSTADAS KETO SIMPLY - CEBOLLA Y OREGANO 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798426290190,3702.6,GREEN Y CO,4900,,463,,1,5,2,1
TOSTADAS KETO SIMPLY - QUESO Y TOMILLO 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,7798426290183,3702.6,GREEN Y CO,4900,,464,,1,5,2,1
GALLETAS DE ARROZ GRANDIET - SALADAS 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,7797330100649,567.7,GREEN Y CO,1000,,465,,1,5,2,1
GALLETAS DE ARROZ GRANDIET - SIN SAL 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,7797330100656,567.7,GREEN Y CO,1000,,466,,1,5,2,1
GALLETAS DE ARROZ GRANDIET - DULCE 100GR,Unidad,GALLETITAS - PANES - SNAKCS,,7797330100663,567.7,GREEN Y CO,1000,,467,,1,5,2,1
GALLETITAS RELLENAS FRUTILLA - SMAMS SIN TACC,Unidad,GALLETITAS - PANES - SNAKCS,,7798181510267,1099,PUNTO CANDY,2300,,468,,1,5,2,1
GALLETITAS CHOCOLATE - SMAMS SIN TACC,Unidad,GALLETITAS - PANES - SNAKCS,,7798181511011,1980,PUNTO CANDY,3100,,469,,1,5,2,1
GARRAPIÑADA - MANI KING SIN TACC,Unidad,GALLETITAS - PANES - SNAKCS,8,7798151950260,383,TREGAR,700,,470,,1,10,3,1
MANI CON CHOCOLATE - MANI KING SIN TACC,Unidad,GALLETITAS - PANES - SNAKCS,13,7798151950697,1226,TREGAR,1800,,471,,1,10,3,1
PALMERITAS NAQUET - SIN TACC,Unidad,GALLETITAS - PANES - SNAKCS,4,7798293000090,1699,BIOMEGA,2600,,472,,1,5,2,1
HOJALDRITAS NAQUET - SIN TACC,Unidad,GALLETITAS - PANES - SNAKCS,,7798293000205,1657,BIOMEGA,2600,,473,,1,5,2,1
PAN BIO - CAMPERO - SEMILLAS,Unidad,GALLETITAS - PANES - SNAKCS,3,7798221641678,4008,ORGANICA,6700,,474,,1,3,1,1
PAN BIO - TORTUGA - HAMBURGESA 120 Gr,Unidad,GALLETITAS - PANES - SNAKCS,5,7798221641647,2460,BIOMEGA,5000,,475,,1,3,1,1
PAN DE MOLDE VEGANO - CERRO AZUL,Unidad,GALLETITAS - PANES - SNAKCS,3,7798161300833,3883,ORGANICA,5700,,476,,1,1,0,1
PAN DULCE - BONAFIDE CON CHIPS,Unidad,GALLETITAS - PANES - SNAKCS,2,7792360092667,3315,BIOMEGA,4500,,477,,1,1,0,1
PAN DULCE - BONAFIDE CON FRUTA,Unidad,GALLETITAS - PANES - SNAKCS,2,7792360091912,3315,BIOMEGA,4500,,478,,1,1,0,1
PAN DULCE - BONAFIDE SIN FRUTA,Unidad,GALLETITAS - PANES - SNAKCS,3,7792360094784,2850,BIOMEGA,4200,,479,,1,1,0,1
PAN DULCE - SMAMS CON CHIPS CHOCO,Unidad,GALLETITAS - PANES - SNAKCS,2,7798181510519,4750,BIOMEGA,6300,,480,,1,1,0,1
PAN DULCE - SMAMS CON FRUTAS,Unidad,GALLETITAS - PANES - SNAKCS,3,7798181510526,4750,BIOMEGA,6300,,481,,1,1,0,1
PAN INTEGRAL CON AVENA - MYLEN 500GR,Unidad,GALLETITAS - PANES - SNAKCS,2,7798005170219,2120,ORGANICA,3300,,482,,1,1,0,1
PAN INTEGRAL CON SEMILLAS - MYLEN 500GR,Unidad,GALLETITAS - PANES - SNAKCS,1,7798005170196,2120,ORGANICA,3300,,483,,1,1,0,1
PAN INTEGRAL TRADICIONAL - MYLEN 500GR,Unidad,GALLETITAS - PANES - SNAKCS,5,7798005170202,2120,ORGANICA,3300,,484,,1,1,0,1
PAN RUSTICO LA FRANCIA - CALABAZA,Unidad,GALLETITAS - PANES - SNAKCS,1,7798159052249,2779,BIOMEGA,4200,,485,,1,1,0,1
PAN RUSTICO LA FRANCIA - GIRASOL Y LINO,Unidad,GALLETITAS - PANES - SNAKCS,1,7798159052218,2779,BIOMEGA,4200,,486,,1,1,0,1
PAN RUSTICO LA FRANCIA - DOBLE INTEGRAL,Unidad,GALLETITAS - PANES - SNAKCS,0,7798159052669,2779,BIOMEGA,4200,,487,,1,1,0,1
PAN RUSTICO LA FRANCIA - MULTICEREAL,Unidad,GALLETITAS - PANES - SNAKCS,1,7798159052447,2779,BIOMEGA,4200,,488,,1,1,0,1
PAN SARRACENO - CELULA - 730GR,Unidad,GALLETITAS - PANES - SNAKCS,0,,6730,NUTRER,10300,,489,,1,1,0,1
PAN SCHAR - BLANCO,Unidad,GALLETITAS - PANES - SNAKCS,5,7898954933450,4246,BIOMEGA,6500,,490,,1,3,1,1
PAN SCHAR - HAMBURGUESA,Unidad,GALLETITAS - PANES - SNAKCS,5,7898954933689,3486,BIOMEGA,6000,,491,,1,3,1,1
PEPAS FRUTOS ROJOS - CELULA - 200GR,Unidad,GALLETITAS - PANES - SNAKCS,2,727373158953,5218,NUTRER,6500,,492,,1,2,1,1
PEPAS LA FRANCIA - BATATA,Unidad,GALLETITAS - PANES - SNAKCS,4,7798159052836,1877.5,BIOMEGA,2900,,493,,1,10,5,1
PEPAS LA FRANCIA - MEMBRILLO,Unidad,GALLETITAS - PANES - SNAKCS,4,7798159052829,1877.5,BIOMEGA,2900,,494,,1,10,5,1
POLVORONES CITRICOS - CELULA - 200GR,Unidad,GALLETITAS - PANES - SNAKCS,2,727373158946,5218,NUTRER,6500,,495,,1,2,1,1
